,amount,buy_or_sell,date,liquidity_curve_susd,liquidity_curvefi,liquidity_kyber,liquidity_mstable,liquidity_oasis,liquidity_uniswap,liquidity_uniswap_v2,liquidity_zero_x,price,time
65,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.0214559293819818,08:37:34.741924
66,50000,buy,2020-08-13,,96.0,,,,,,4.0,1.0216895238238788,08:37:35.673117
67,100000,buy,2020-08-13,,98.0,,,,,,2.0,1.0220779395831279,08:37:37.063870
68,200000,buy,2020-08-13,19.0,79.0,,,,,,2.0,1.0227625070850803,08:37:37.837121
69,500000,buy,2020-08-13,48.0,47.0,,,,,,5.0,1.0237486676445962,08:37:39.143450
70,1000000,buy,2020-08-13,60.0,36.0,,,,,,4.0,1.0249402693483238,08:37:39.988486
71,1500000,buy,2020-08-13,62.0,31.0,,,5.0,,,2.0,1.026182715515888,08:37:40.729261
72,10000,sell,2020-08-13,100.0,,,,,,,,1.0227191284389292,08:37:41.645527
73,25000,sell,2020-08-13,100.0,,,,,,,,1.0226751710289534,08:37:42.375183
74,50000,sell,2020-08-13,100.0,,,,,,,,1.0226022120461762,08:37:43.609167
75,100000,sell,2020-08-13,100.0,,,,,,,,1.0224574204696226,08:37:44.486007
76,200000,sell,2020-08-13,100.0,,,,,,,,1.0221722572315097,08:37:45.699806
77,500000,sell,2020-08-13,94.0,6.0,,,,,,,1.0213681384212288,08:37:46.453368
78,1000000,sell,2020-08-13,82.0,17.0,,,,,,1.0,1.020326851224333,08:37:47.714902
79,1500000,sell,2020-08-13,78.0,20.0,,,,,,2.0,1.0194458206142045,08:37:48.392912
80,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.0211688278148898,08:38:49.090467
81,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.0214460986020015,08:38:50.358062
82,50000,buy,2020-08-13,,96.0,,,,,,4.0,1.0216791814185846,08:38:51.676640
83,100000,buy,2020-08-13,,98.0,,,,,,2.0,1.0220672076024726,08:38:52.377415
84,200000,buy,2020-08-13,19.0,79.0,,,,,,2.0,1.0227475992089055,08:38:54.008893
85,500000,buy,2020-08-13,52.0,47.0,,,,,,1.0,1.0237422784371366,08:38:55.300478
86,1000000,buy,2020-08-13,63.0,37.0,,,,,,,1.0250300352821284,08:38:56.680037
87,1500000,buy,2020-08-13,63.0,32.0,,,5.0,,,,1.0262637998639434,08:38:57.476782
88,10000,sell,2020-08-13,,,100.0,,,,,,1.0237000525957587,08:38:58.339506
89,25000,sell,2020-08-13,99.0,,,,,1.0,,,1.0226451499798108,08:38:59.793043
90,50000,sell,2020-08-13,100.0,,,,,,,,1.0225706867524336,08:39:00.504813
91,100000,sell,2020-08-13,100.0,,,,,,,,1.0224261757403568,08:39:02.314232
92,200000,sell,2020-08-13,100.0,,,,,,,,1.0221415593159713,08:39:03.193951
93,500000,sell,2020-08-13,93.0,6.0,,,,,1.0,,1.0213418290841332,08:39:04.704467
94,1000000,sell,2020-08-13,82.0,17.0,,,,,1.0,,1.0203070862950026,08:39:05.677155
95,1500000,sell,2020-08-13,77.0,20.0,,,,,1.0,2.0,1.019427247380998,08:39:06.410993
96,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.021168826545814,08:40:07.817603
97,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.0214460971297126,08:40:08.650197
98,50000,buy,2020-08-13,,96.0,,,,,,4.0,1.0216791798602265,08:40:10.040999
99,100000,buy,2020-08-13,,98.0,,,,,,2.0,1.0220672059653244,08:40:11.341693
100,200000,buy,2020-08-13,19.0,79.0,,,,,,2.0,1.022747598260827,08:40:12.211553
101,500000,buy,2020-08-13,46.0,46.0,,,,,,8.0,1.0237097008078593,08:40:13.202645
102,1000000,buy,2020-08-13,60.0,36.0,,,,,,4.0,1.0249023139314588,08:40:14.096494
103,1500000,buy,2020-08-13,62.0,31.0,,,5.0,,,2.0,1.0261495174073103,08:40:15.602789
104,10000,sell,2020-08-13,99.0,,,,,1.0,,,1.022693511937065,08:40:16.834722
105,25000,sell,2020-08-13,99.0,,,,,1.0,,,1.0226451499798108,08:40:18.186624
106,50000,sell,2020-08-13,100.0,,,,,,,,1.0225706867524336,08:40:18.970670
107,100000,sell,2020-08-13,100.0,,,,,,,,1.0224261757403568,08:40:20.060426
108,200000,sell,2020-08-13,100.0,,,,,,,,1.0221415593159713,08:40:21.355585
109,500000,sell,2020-08-13,94.0,6.0,,,,,,,1.0213405854946207,08:40:22.069015
110,1000000,sell,2020-08-13,83.0,17.0,,,,,,,1.0203030101079658,08:40:23.312483
111,1500000,sell,2020-08-13,78.0,20.0,,,,,,2.0,1.0194229994394082,08:40:24.681426
112,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.021168825756342,08:41:25.469163
113,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.0214460962138177,08:41:26.201048
114,50000,buy,2020-08-13,,96.0,,,,,,4.0,1.0216791788907755,08:41:27.637709
115,100000,buy,2020-08-13,,98.0,,,,,,2.0,1.0220672049468302,08:41:28.521737
116,200000,buy,2020-08-13,19.0,79.0,,,,,,2.0,1.0227475974101055,08:41:29.176716
117,500000,buy,2020-08-13,46.0,46.0,,,,,,8.0,1.0237097002902993,08:41:30.419777
118,1000000,buy,2020-08-13,60.0,36.0,,,,,,4.0,1.0249023134923172,08:41:31.165798
119,1500000,buy,2020-08-13,62.0,31.0,,,5.0,,,2.0,1.0261495170023325,08:41:32.495273
120,10000,sell,2020-08-13,,,100.0,,,,,,1.0232598212630872,08:41:33.242659
121,25000,sell,2020-08-13,99.0,,,,,1.0,,,1.0226451499798108,08:41:34.735776
122,50000,sell,2020-08-13,100.0,,,,,,,,1.0225706867524336,08:41:35.462319
123,100000,sell,2020-08-13,100.0,,,,,,,,1.0224261757403568,08:41:36.303272
124,200000,sell,2020-08-13,100.0,,,,,,,,1.0224626265355452,08:41:37.140996
125,500000,sell,2020-08-13,97.0,3.0,,,,,,,1.0216372197435761,08:41:38.427782
126,1000000,sell,2020-08-13,85.0,15.0,,,,,,,1.0205495857903695,08:41:39.758160
127,1500000,sell,2020-08-13,79.0,19.0,,,,,,2.0,1.019594996248681,08:41:40.502145
128,10000,buy,2020-08-13,,90.0,,,,,,10.0,1.0213329270703082,08:42:42.022309
129,25000,buy,2020-08-13,,96.0,,,,,,4.0,1.0214853920112303,08:42:43.401238
130,50000,buy,2020-08-13,,98.0,,,,,,2.0,1.0216766268880573,08:42:44.114204
131,100000,buy,2020-08-13,,99.0,,,,,,1.0,1.0220432785546223,08:42:45.361513
132,200000,buy,2020-08-13,13.0,84.0,,,,,,3.0,1.0227490541465256,08:42:46.665880
133,500000,buy,2020-08-13,44.0,48.0,,,,,,8.0,1.0237683698476223,08:42:47.887487
