,amount,buy_or_sell,date,liquidity_curve_susd,liquidity_curvefi,liquidity_kyber,liquidity_oasis,liquidity_uniswap,liquidity_uniswap_v2,liquidity_zero_x,price,time
0,10000,buy,2020-08-10,87.0,,,,,13.0,,1.0179894881094091,16:21:06.403202
1,25000,buy,2020-08-10,94.0,,,,,6.0,,1.01806918353986,16:21:07.815349
2,50000,buy,2020-08-10,96.0,,,,,4.0,,1.0181700359559693,16:21:08.588644
3,100000,buy,2020-08-10,98.0,,,,,2.0,,1.0183615916316056,16:21:09.832417
4,200000,buy,2020-08-10,82.0,12.0,,,,2.0,4.0,1.0187083837914066,16:21:11.096740
5,500000,buy,2020-08-10,65.0,32.0,,,,1.0,2.0,1.0194452533092735,16:21:12.043891
6,1000000,buy,2020-08-10,60.0,38.0,,,,1.0,1.0,1.0206637419182958,16:21:12.889808
7,1500000,buy,2020-08-10,59.0,39.0,,,,1.0,1.0,1.0219907427760277,16:21:14.559671
8,10000,sell,2020-08-10,,100.0,,,,,,1.0181657640410269,16:21:15.508678
9,25000,sell,2020-08-10,,100.0,,,,,,1.0180934868538516,16:21:16.948995
10,50000,sell,2020-08-10,,100.0,,,,,,1.0179742572614021,16:21:17.597778
11,100000,sell,2020-08-10,,100.0,,,,,,1.0177403144166621,16:21:18.924407
12,200000,sell,2020-08-10,24.0,76.0,,,,,,1.0173845752648056,16:21:20.064911
13,500000,sell,2020-08-10,41.0,58.0,,,,,1.0,1.0167064982156655,16:21:21.234926
14,1000000,sell,2020-08-10,45.0,51.0,,,,,4.0,1.0158010325039357,16:21:21.974478
15,1500000,sell,2020-08-10,46.0,49.0,,2.0,,,3.0,1.0149921668269015,16:21:22.901202
16,10000,buy,2020-08-10,99.0,,,,,1.0,,1.0180900044349828,16:22:53.450734
17,25000,buy,2020-08-10,100.0,,,,,,,1.018150594574437,16:22:54.695419
18,50000,buy,2020-08-10,100.0,,,,,,,1.0182445528364723,16:22:55.573532
19,100000,buy,2020-08-10,100.0,,,,,,,1.0184347253659156,16:22:56.963497
20,200000,buy,2020-08-10,81.0,15.0,,,,,4.0,1.0187707943457094,16:22:58.452627
21,500000,buy,2020-08-10,65.0,33.0,,,,,2.0,1.0195023252016922,16:22:59.564410
22,1000000,buy,2020-08-10,59.0,38.0,,,,1.0,2.0,1.0207113831809804,16:23:00.863239
23,1500000,buy,2020-08-10,58.0,40.0,,,,1.0,1.0,1.0220501757187257,16:23:01.717676
24,10000,sell,2020-08-10,,100.0,,,,,,1.018165760658151,16:23:02.942426
25,25000,sell,2020-08-10,,100.0,,,,,,1.018093483493812,16:23:05.299732
26,50000,sell,2020-08-10,,100.0,,,,,,1.017974253938869,16:23:06.042684
27,100000,sell,2020-08-10,,100.0,,,,,,1.017740311167121,16:23:07.554106
28,200000,sell,2020-08-10,26.0,74.0,,,,,,1.0173982754606976,16:23:08.357094
29,500000,sell,2020-08-10,42.0,57.0,,,,,1.0,1.0167285992899309,16:23:09.175172
30,1000000,sell,2020-08-10,46.0,50.0,,,,,4.0,1.0158239975528238,16:23:10.514787
31,1500000,sell,2020-08-10,47.0,48.0,,2.0,,,3.0,1.0150144961551,16:23:11.861356
32,10000,buy,2020-08-10,99.0,,,,,1.0,,1.0181062329571222,16:24:38.736833
33,25000,buy,2020-08-10,100.0,,,,,,,1.018167018928966,16:24:39.532972
34,50000,buy,2020-08-10,100.0,,,,,,,1.01826103020653,16:24:40.835179
35,100000,buy,2020-08-10,100.0,,,,,,,1.0184513103429487,16:24:42.077311
36,200000,buy,2020-08-10,81.0,15.0,,,,,4.0,1.0187843406944699,16:24:42.760850
37,500000,buy,2020-08-10,65.0,33.0,,,,,2.0,1.019513440396631,16:24:43.369072
38,1000000,buy,2020-08-10,60.0,38.0,,,,,2.0,1.0207185280311628,16:24:44.661390
39,1500000,buy,2020-08-10,58.0,40.0,,,,1.0,1.0,1.0220699858192028,16:24:45.324811
40,10000,sell,2020-08-10,,100.0,,,,,,1.0181657569525473,16:24:46.589926
41,25000,sell,2020-08-10,,100.0,,,,,,1.0180934798132133,16:24:47.961802
42,50000,sell,2020-08-10,,100.0,,,,,,1.0179742502993376,16:24:49.119620
43,100000,sell,2020-08-10,,100.0,,,,,,1.0177403076075133,16:24:50.378739
44,200000,sell,2020-08-10,27.0,73.0,,,,,,1.0174025128213844,16:24:51.324444
45,500000,sell,2020-08-10,42.0,57.0,,,,,1.0,1.016735283572139,16:24:52.286079
46,1000000,sell,2020-08-10,46.0,50.0,,,,,4.0,1.0158311003409057,16:24:53.139806
47,1500000,sell,2020-08-10,47.0,48.0,,2.0,,,3.0,1.0150215559771822,16:24:54.343524
48,10000,buy,2020-08-10,99.0,,,,,1.0,,1.018115018617306,16:26:20.918494
49,25000,buy,2020-08-10,100.0,,,,,,,1.0181759289422045,16:26:22.148891
50,50000,buy,2020-08-10,100.0,,,,,,,1.0182699995976303,16:26:23.303718
51,100000,buy,2020-08-10,100.0,,,,,,,1.0184604005850972,16:26:24.300900
52,200000,buy,2020-08-10,80.0,15.0,,,,1.0,4.0,1.018791266994703,16:26:25.686887
53,500000,buy,2020-08-10,64.0,32.0,,,,1.0,3.0,1.0195135702685076,16:26:26.796684
54,1000000,buy,2020-08-10,59.0,38.0,,,,1.0,2.0,1.0207090448218508,16:26:28.274087
55,1500000,buy,2020-08-10,58.0,40.0,,,,1.0,1.0,1.0220528290740822,16:26:29.454302
56,10000,sell,2020-08-10,,100.0,,,,,,1.0181657550039689,16:26:30.800603
57,25000,sell,2020-08-10,,100.0,,,,,,1.018093477877784,16:26:31.944484
58,50000,sell,2020-08-10,,100.0,,,,,,1.0179742483855037,16:26:33.349758
59,100000,sell,2020-08-10,,100.0,,,,,,1.0177403057357075,16:26:34.088861
60,200000,sell,2020-08-10,27.0,73.0,,,,,,1.0174048647970493,16:26:35.348131
61,500000,sell,2020-08-10,42.0,57.0,,,,,1.0,1.0167387952853864,16:26:36.536155
62,1000000,sell,2020-08-10,46.0,50.0,,,,,4.0,1.01583471039786,16:26:37.925011
63,1500000,sell,2020-08-10,47.0,48.0,,2.0,,,3.0,1.0150250328642658,16:26:38.825400
64,10000,buy,2020-08-10,71.0,,,,,29.0,,1.0178740061630882,16:28:07.735413
65,25000,buy,2020-08-10,88.0,,,,,12.0,,1.018066114470052,16:28:09.028655
66,50000,buy,2020-08-10,93.0,,,,,7.0,,1.0182043844699271,16:28:10.320447
67,100000,buy,2020-08-10,97.0,,,,,3.0,,1.0184458256478446,16:28:11.950927
68,200000,buy,2020-08-10,79.0,15.0,,,,2.0,4.0,1.0187786802502334,16:28:12.915616
69,500000,buy,2020-08-10,64.0,33.0,,,,1.0,2.0,1.019503275995935,16:28:13.765344
70,1000000,buy,2020-08-10,59.0,38.0,,,,1.0,2.0,1.0207039509234268,16:28:14.519101
71,1500000,buy,2020-08-10,58.0,40.0,,,,1.0,1.0,1.0220418957674606,16:28:15.223874
72,10000,sell,2020-08-10,,100.0,,,,,,1.018165751169424,16:28:16.224555
73,25000,sell,2020-08-10,,100.0,,,,,,1.0180934740691103,16:28:17.493148
74,50000,sell,2020-08-10,,100.0,,,,,,1.0179742446193207,16:28:18.285894
75,100000,sell,2020-08-10,,100.0,,,,,,1.0177403020522184,16:28:18.958678
76,200000,sell,2020-08-10,27.0,73.0,,,,,,1.0174057206856477,16:28:19.676448
77,500000,sell,2020-08-10,43.0,56.0,,,,,1.0,1.016740147745548,16:28:20.916050
78,1000000,sell,2020-08-10,46.0,50.0,,,,,4.0,1.0158361564949339,16:28:21.642817
79,1500000,sell,2020-08-10,47.0,48.0,,2.0,,,3.0,1.0150265055539325,16:28:23.083476
80,10000,buy,2020-08-10,65.0,,,,,35.0,,1.017768883083769,16:29:47.759508
81,25000,buy,2020-08-10,85.0,,,,,15.0,,1.0180215430376,16:29:48.995488
82,50000,buy,2020-08-10,92.0,,,,,8.0,,1.0181855536378241,16:29:50.217633
83,100000,buy,2020-08-10,96.0,,,,,4.0,,1.018404363491743,16:29:50.979494
84,200000,buy,2020-08-10,79.0,14.0,,,,3.0,4.0,1.0187529367627353,16:29:51.770052
85,500000,buy,2020-08-10,64.0,32.0,,,,2.0,2.0,1.0194904037606394,16:29:52.896692
86,1000000,buy,2020-08-10,60.0,38.0,,,,1.0,1.0,1.0207084362387508,16:29:54.160159
87,1500000,buy,2020-08-10,59.0,40.0,,,,1.0,,1.022094963075779,16:29:55.276031
88,10000,sell,2020-08-10,,100.0,,,,,,1.018165747013739,16:29:55.996830
89,25000,sell,2020-08-10,,100.0,,,,,,1.0180934699414592,16:29:57.318249
90,50000,sell,2020-08-10,,100.0,,,,,,1.0179742405377112,16:29:57.929771
91,100000,sell,2020-08-10,,100.0,,,,,,1.0177402980602137,16:29:59.175282
92,200000,sell,2020-08-10,27.0,73.0,,,,,,1.017405717829615,16:29:59.978024
93,500000,sell,2020-08-10,43.0,57.0,,,,,,1.016735559524439,16:30:01.387577
94,1000000,sell,2020-08-10,48.0,52.0,,,,,,1.0157948558975063,16:30:03.039044
95,1500000,sell,2020-08-10,48.0,50.0,,2.0,,,,1.0149598314105501,16:30:03.820793
96,10000,buy,2020-08-10,91.0,,,,1.0,8.0,,1.0180979945978963,16:31:31.505373
97,25000,buy,2020-08-10,95.0,,,,1.0,4.0,,1.0181653055944908,16:31:32.381032
98,50000,buy,2020-08-10,97.0,,,,,3.0,,1.0182631200862164,16:31:33.620718
99,100000,buy,2020-08-10,98.0,,,,,2.0,,1.0184521362968106,16:31:34.867156
100,200000,buy,2020-08-10,80.0,15.0,,,,1.0,4.0,1.0187837828370625,16:31:35.989061
101,500000,buy,2020-08-10,64.0,33.0,,,,1.0,2.0,1.0195064266302631,16:31:36.680994
102,1000000,buy,2020-08-10,59.0,38.0,,,,1.0,2.0,1.0207061390841,16:31:37.569425
103,1500000,buy,2020-08-10,58.0,40.0,,,,1.0,1.0,1.0220467557121022,16:31:38.203644
104,10000,sell,2020-08-10,,100.0,,,,,,1.0181657448400145,16:31:38.798443
105,25000,sell,2020-08-10,,100.0,,,,,,1.0180934677823985,16:31:40.047465
106,50000,sell,2020-08-10,,100.0,,,,,,1.0179742384027337,16:31:41.196459
107,100000,sell,2020-08-10,,100.0,,,,,,1.0177402959721058,16:31:42.045866
108,200000,sell,2020-08-10,27.0,73.0,,,,,,1.017405716335703,16:31:42.898749
109,500000,sell,2020-08-10,43.0,56.0,,,,,1.0,1.016739216594323,16:31:44.162490
110,1000000,sell,2020-08-10,46.0,50.0,,,,,4.0,1.015842494432702,16:31:45.432321
111,1500000,sell,2020-08-10,47.0,48.0,,2.0,,,3.0,1.0150308706186533,16:31:46.834318
112,10000,buy,2020-08-10,98.0,,,,,2.0,,1.018105134781582,16:33:11.784965
113,25000,buy,2020-08-10,99.0,,,,,1.0,,1.0181715586872508,16:33:12.599703
114,50000,buy,2020-08-10,100.0,,,,,,,1.0182731927386337,16:33:13.924279
115,100000,buy,2020-08-10,100.0,,,,,,,1.0184635990550663,16:33:14.725022
116,200000,buy,2020-08-10,80.0,16.0,,,,,4.0,1.0187944062169358,16:33:15.476781
117,500000,buy,2020-08-10,65.0,33.0,,,,,2.0,1.019522743228245,16:33:16.290520
118,1000000,buy,2020-08-10,60.0,38.0,,,,,2.0,1.0207337197427577,16:33:17.605099
119,1500000,buy,2020-08-10,59.0,40.0,,,,,1.0,1.022089879934093,16:33:18.298875
120,10000,sell,2020-08-10,,100.0,,,,,,1.018165740812779,16:33:19.564471
121,25000,sell,2020-08-10,,100.0,,,,,,1.018093463782331,16:33:20.871051
122,50000,sell,2020-08-10,,100.0,,,,,,1.0179742344472853,16:33:22.435550
123,100000,sell,2020-08-10,,100.0,,,,,,1.0177402921034944,16:33:23.196306
124,200000,sell,2020-08-10,27.0,73.0,,,,,,1.0174057135679522,16:33:24.575864
125,500000,sell,2020-08-10,43.0,56.0,,,,,1.0,1.016739214589287,16:33:25.277639
126,1000000,sell,2020-08-10,46.0,50.0,,,,,4.0,1.0158420755760666,16:33:26.541233
127,1500000,sell,2020-08-10,47.0,48.0,,2.0,,,3.0,1.015025759315013,16:33:27.714857
128,10000,buy,2020-08-10,100.0,,,,,,,1.0181131177536646,16:34:58.975057
129,25000,buy,2020-08-10,100.0,,,,,,,1.0181691661243992,16:35:00.155032
130,50000,buy,2020-08-10,100.0,,,,,,,1.0182631727566214,16:35:00.964373
131,100000,buy,2020-08-10,100.0,,,,,,,1.018453443096143,16:35:02.311454
132,200000,buy,2020-08-10,84.0,12.0,,,,,4.0,1.0188002005569652,16:35:03.477024
133,500000,buy,2020-08-10,66.0,32.0,,,,,2.0,1.0195496489997191,16:35:04.333916
134,1000000,buy,2020-08-10,61.0,37.0,,,,,2.0,1.0207734677299134,16:35:05.829411
135,1500000,buy,2020-08-10,59.0,40.0,,,,,1.0,1.0221335193926386,16:35:06.613724
136,10000,sell,2020-08-10,,100.0,,,,,,1.018266742239291,16:35:08.184236
137,25000,sell,2020-08-10,,100.0,,,,,,1.0181938744395087,16:35:09.686149
138,50000,sell,2020-08-10,,100.0,,,,,,1.0180736739789582,16:35:10.943620
139,100000,sell,2020-08-10,,100.0,,,,,,1.0178378385334128,16:35:12.605964
140,200000,sell,2020-08-10,24.0,76.0,,,,,,1.017474698078532,16:35:14.065829
141,500000,sell,2020-08-10,41.0,58.0,,,,,1.0,1.0167873156955183,16:35:15.417743
142,1000000,sell,2020-08-10,45.0,51.0,,,,,4.0,1.0158809055980453,16:35:16.629617
143,1500000,sell,2020-08-10,46.0,49.0,,2.0,,,3.0,1.015064959487157,16:35:17.769940
144,10000,buy,2020-08-10,,,78.0,,,22.0,,1.0160681353970666,16:36:44.930499
145,25000,buy,2020-08-10,77.0,,,,,23.0,,1.0177942675896932,16:36:46.389075
146,50000,buy,2020-08-10,88.0,,,,,12.0,,1.018053752414219,16:36:47.146618
147,100000,buy,2020-08-10,91.0,2.0,,,,7.0,,1.018324798694158,16:36:48.398002
148,200000,buy,2020-08-10,73.0,23.0,,,,4.0,,1.018654348840708,16:36:49.092920
149,500000,buy,2020-08-10,61.0,35.0,,,,2.0,2.0,1.0193588325276126,16:36:50.250413
150,1000000,buy,2020-08-10,58.0,39.0,,,,1.0,2.0,1.0205473778802299,16:36:51.519514
151,1500000,buy,2020-08-10,57.0,41.0,,,,1.0,1.0,1.0218680757905039,16:36:53.216304
152,10000,sell,2020-08-10,,100.0,,,,,,1.017889488017788,16:36:54.079365
153,25000,sell,2020-08-10,,100.0,,,,,,1.0178188505051697,16:36:54.754300
154,50000,sell,2020-08-10,,100.0,,,,,,1.0177023159421248,16:36:55.502348
155,100000,sell,2020-08-10,15.0,85.0,,,,,,1.0174911484111286,16:36:56.060926
156,200000,sell,2020-08-10,34.0,66.0,,,,,,1.0172205110397876,16:36:56.845669
157,500000,sell,2020-08-10,45.0,54.0,,,,,1.0,1.0165978165700387,16:36:58.040465
158,1000000,sell,2020-08-10,47.0,49.0,,,,,4.0,1.0157243281672643,16:36:59.397018
159,1500000,sell,2020-08-10,48.0,47.0,,2.0,,,3.0,1.0149244536476771,16:37:00.134758
160,10000,buy,2020-08-10,,,48.0,,,52.0,,1.0160279149247011,16:38:27.091991
161,25000,buy,2020-08-10,70.0,,,,,30.0,,1.0174867727598094,16:38:27.799281
162,50000,buy,2020-08-10,84.0,,,,,16.0,,1.0178916006359102,16:38:29.125855
163,100000,buy,2020-08-10,90.0,1.0,,,,9.0,,1.0182354561201423,16:38:30.609379
164,200000,buy,2020-08-10,72.0,23.0,,,,5.0,,1.0186048394031324,16:38:32.117897
165,500000,buy,2020-08-10,61.0,35.0,,,,2.0,2.0,1.0193342863960475,16:38:32.954629
166,1000000,buy,2020-08-10,57.0,39.0,,,,2.0,2.0,1.0205295189913446,16:38:33.641408
167,1500000,buy,2020-08-10,57.0,41.0,,,,1.0,1.0,1.0218549569049495,16:38:34.369176
168,10000,sell,2020-08-10,,100.0,,,,,,1.0178894848735982,16:38:35.154923
169,25000,sell,2020-08-10,,100.0,,,,,,1.0178188473820524,16:38:35.787719
170,50000,sell,2020-08-10,,100.0,,,,,,1.0177023130065166,16:38:36.466501
171,100000,sell,2020-08-10,15.0,85.0,,,,,,1.0174908465066586,16:38:37.642125
172,200000,sell,2020-08-10,34.0,66.0,,,,,,1.0172198400566952,16:38:38.791757
173,500000,sell,2020-08-10,45.0,54.0,,,,,1.0,1.016596965463851,16:38:39.527521
174,1000000,sell,2020-08-10,47.0,49.0,,,,,4.0,1.0157234927858096,16:38:40.657159
175,1500000,sell,2020-08-10,48.0,47.0,,2.0,,,3.0,1.0149236504154493,16:38:41.349937
176,10000,buy,2020-08-10,,,58.0,,,42.0,,1.0156872298900004,16:40:08.435679
177,25000,buy,2020-08-10,69.0,,,,,31.0,,1.017475958175749,16:40:09.330950
178,50000,buy,2020-08-10,84.0,,,,,16.0,,1.0178858895424057,16:40:10.096830
179,100000,buy,2020-08-10,90.0,1.0,,,,9.0,,1.018232237499249,16:40:11.374782
180,200000,buy,2020-08-10,72.0,23.0,,,,5.0,,1.0186030470690095,16:40:12.608559
181,500000,buy,2020-08-10,61.0,35.0,,,,2.0,2.0,1.0193335678470503,16:40:13.810175
182,1000000,buy,2020-08-10,57.0,39.0,,,,2.0,2.0,1.02052953868001,16:40:14.663900
183,1500000,buy,2020-08-10,57.0,41.0,,,,1.0,1.0,1.0218550525970236,16:40:15.543619
184,10000,sell,2020-08-10,,100.0,,,,,,1.0178894817295483,16:40:16.679255
185,25000,sell,2020-08-10,,100.0,,,,,,1.0178188442590748,16:40:17.372031
186,50000,sell,2020-08-10,,100.0,,,,,,1.0177023099181508,16:40:18.929196
187,100000,sell,2020-08-10,15.0,85.0,,,,,,1.0174908440536539,16:40:19.532575
188,200000,sell,2020-08-10,34.0,66.0,,,,,,1.017219838385881,16:40:20.955654
189,500000,sell,2020-08-10,45.0,54.0,,,,,1.0,1.016596769325295,16:40:21.576305
190,1000000,sell,2020-08-10,47.0,49.0,,,,,4.0,1.0157204065025007,16:40:22.805133
191,1500000,sell,2020-08-10,48.0,47.0,,2.0,,,3.0,1.0149215003568215,16:40:24.120128
192,10000,buy,2020-08-10,51.0,,,,,49.0,,1.017331237614394,16:41:49.523354
193,25000,buy,2020-08-10,80.0,,,,,20.0,,1.0177903597028266,16:41:50.276017
194,50000,buy,2020-08-10,89.0,,,,,11.0,,1.018017217241203,16:41:51.184542
195,100000,buy,2020-08-10,94.0,,,,,6.0,,1.0182709922277542,16:41:52.745775
196,200000,buy,2020-08-10,75.0,22.0,,,,3.0,,1.0186077895751116,16:41:53.599320
197,500000,buy,2020-08-10,62.0,34.0,,,,2.0,2.0,1.019315836716613,16:41:54.948080
198,1000000,buy,2020-08-10,58.0,39.0,,,,1.0,2.0,1.0205015461298854,16:41:56.252021
199,1500000,buy,2020-08-10,58.0,40.0,,,,1.0,1.0,1.0218183941686758,16:41:57.461265
200,10000,sell,2020-08-10,,100.0,,,,,,1.0178894789275514,16:41:58.606995
201,25000,sell,2020-08-10,,100.0,,,,,,1.0178188414758569,16:41:59.458242
202,50000,sell,2020-08-10,,100.0,,,,,,1.0177023071657787,16:42:00.221802
203,100000,sell,2020-08-10,10.0,90.0,,,,,,1.017482201571308,16:42:01.048355
204,200000,sell,2020-08-10,32.0,68.0,,,,,,1.0171969152567233,16:42:02.023771
205,500000,sell,2020-08-10,45.0,54.0,,,,,1.0,1.016566990404483,16:42:02.793770
206,1000000,sell,2020-08-10,47.0,49.0,,,,,4.0,1.0156911325064468,16:42:04.312337
207,1500000,sell,2020-08-10,47.0,48.0,,2.0,,,3.0,1.014893591309523,16:42:05.783269
208,10000,buy,2020-08-10,93.0,,,,2.0,5.0,,1.0178740940024904,16:43:32.572592
209,25000,buy,2020-08-10,97.0,,,,1.0,2.0,,1.017995517026409,16:43:34.063114
210,50000,buy,2020-08-10,99.0,,,,,1.0,,1.0181122119443067,16:43:35.433675
211,100000,buy,2020-08-10,99.0,,,,,1.0,,1.0183221308652546,16:43:36.614297
212,200000,buy,2020-08-10,78.0,21.0,,,,1.0,,1.0186308770787618,16:43:37.480017
213,500000,buy,2020-08-10,63.0,34.0,,,,1.0,2.0,1.01932163735506,16:43:38.746613
214,1000000,buy,2020-08-10,58.0,39.0,,,,1.0,2.0,1.0204974931024757,16:43:39.950228
215,1500000,buy,2020-08-10,58.0,40.0,,,,1.0,1.0,1.0218111504245453,16:43:40.652003
216,10000,sell,2020-08-10,,100.0,,,,,,1.0178894748801504,16:43:41.518724
217,25000,sell,2020-08-10,,100.0,,,,,,1.0178188374555819,16:43:42.726337
218,50000,sell,2020-08-10,,100.0,,,,,,1.0177023031900594,16:43:43.564068
219,100000,sell,2020-08-10,7.0,93.0,,,,,,1.0174776553524816,16:43:44.817666
220,200000,sell,2020-08-10,31.0,69.0,,,,,,1.0171806104737853,16:43:46.138243
221,500000,sell,2020-08-10,44.0,55.0,,,,,1.0,1.016545005645683,16:43:47.366850
222,1000000,sell,2020-08-10,47.0,49.0,,,,,4.0,1.0156691262086555,16:43:48.708418
223,1500000,sell,2020-08-10,47.0,48.0,,2.0,,,3.0,1.0148727714119852,16:43:49.789072
224,10000,buy,2020-08-10,93.0,,,,2.0,5.0,,1.0178740940024904,16:45:15.266133
225,25000,buy,2020-08-10,97.0,,,,1.0,2.0,,1.017995517026409,16:45:16.335162
226,50000,buy,2020-08-10,99.0,,,,,1.0,,1.0181122119443067,16:45:17.595447
227,100000,buy,2020-08-10,99.0,,,,,1.0,,1.0183221308652546,16:45:18.883641
228,200000,buy,2020-08-10,79.0,21.0,,,,,,1.0186322721736372,16:45:19.664565
229,500000,buy,2020-08-10,63.0,35.0,,,,,2.0,1.0193312904961647,16:45:20.326443
230,1000000,buy,2020-08-10,59.0,39.0,,,,,2.0,1.0205171523214773,16:45:21.531995
231,1500000,buy,2020-08-10,58.0,41.0,,,,,1.0,1.0218456085002687,16:45:22.466112
232,10000,sell,2020-08-10,,100.0,,,,,,1.017889471611097,16:45:23.733208
233,25000,sell,2020-08-10,,100.0,,,,,,1.0178188342084378,16:45:24.856580
234,50000,sell,2020-08-10,,100.0,,,,,,1.0177022999789027,16:45:26.110574
235,100000,sell,2020-08-10,7.0,93.0,,,,,,1.0174776521711129,16:45:26.909004
236,200000,sell,2020-08-10,31.0,69.0,,,,,,1.017180608159294,16:45:27.720303
237,500000,sell,2020-08-10,44.0,55.0,,,,,1.0,1.016543363705272,16:45:28.515967
238,1000000,sell,2020-08-10,47.0,49.0,,,,,4.0,1.0156671471877652,16:45:30.199435
239,1500000,sell,2020-08-10,48.0,48.0,,2.0,,,2.0,1.0148547306787745,16:45:30.913288
240,10000,buy,2020-08-10,,97.0,,,,3.0,,1.0177222674172408,16:47:00.948687
241,25000,buy,2020-08-10,9.0,90.0,,,,1.0,,1.0178045542633565,16:47:02.025953
242,50000,buy,2020-08-10,31.0,68.0,,,,1.0,,1.0178854376198205,16:47:02.711710
243,100000,buy,2020-08-10,43.0,57.0,,,,,,1.0179990765530544,16:47:04.051169
244,200000,buy,2020-08-10,49.0,51.0,,,,,,1.0182073710764163,16:47:05.461570
245,500000,buy,2020-08-10,51.0,47.0,,,,,2.0,1.0188340504282178,16:47:06.737178
246,1000000,buy,2020-08-10,53.0,45.0,,,,,2.0,1.0199573612781596,16:47:07.323458
247,1500000,buy,2020-08-10,54.0,45.0,,,,,1.0,1.021220409339594,16:47:08.126206
248,10000,sell,2020-08-10,100.0,,,,,,,1.01703919160695,16:47:08.881081
249,25000,sell,2020-08-10,98.0,2.0,,,,,,1.0169836681501105,16:47:10.157426
250,50000,sell,2020-08-10,76.0,24.0,,,,,,1.0169146136914657,16:47:11.024016
251,100000,sell,2020-08-10,64.0,35.0,,,,,1.0,1.0168074913262777,16:47:12.070881
252,200000,sell,2020-08-10,59.0,40.0,,,,,1.0,1.0166074779784133,16:47:13.316686
253,500000,sell,2020-08-10,54.0,42.0,,,,,4.0,1.016058659770741,16:47:13.951600
254,1000000,sell,2020-08-10,52.0,44.0,,,,,4.0,1.0152355942346567,16:47:15.194173
255,1500000,sell,2020-08-10,51.0,44.0,,2.0,,,3.0,1.0144750169766796,16:47:15.896021
256,10000,buy,2020-08-10,,97.0,,,,3.0,,1.0177222649416606,16:48:41.924408
